Programme Name,University Name,Location,Programme Code,Cut-off 2017,Cut-off 2018,Cut-off 2019,Cut-off 2020,Cut-off 2021,Cut-off 2022,Cut-off 2023
BACHELOR OF EDUCATION (ARTS),GREAT LAKES UNIVERSITY OF KISUMU,Unknown,1192135,,23.95,,23.232,23.655,22.358,23.897
PROGRAMME NAME,INSTITUTION NAME,Unknown,PROG CODE,,,,,,,
BACHELOR OF EDUCATION (ARTS),PRESBYTERIAN UNIVERSITY OF EAST AFRICA,Unknown,1196135,,23.963,24.037,25.854,23.925,22.358,21.858
BACHELOR OF EDUCATION (ARTS),INTERNATIONAL LEADERSHIP UNIVERSITY,Unknown,1225135,,,,,,,
BACHELOR OF EDUCATION ARTS,MOUNT KENYA UNIVERSITY,Kiambu County,1279135,24.559,28.464,30.112,30.207,29.696,22.358,27.323
BACHELOR OF EDUCATION (ARTS),KAIMOSI FRIENDS UNIVERSITY,Unknown,1470135,,23.366,25.533,27.234,23.717,25.793,27.773
BACHELOR OF EDUCATION (ARTS),TANGAZA UNIVERSITY COLLEGE,Unknown,1475135,,23.667,23.72,26.164,25.739,22.358,23.781
BACHELOR OF EDUCATION (ARTS),CATHOLIC UNIVERSITY OF EASTERN  AFRICA,Nairobi County,1480135,25.072,26.71,28.956,28.927,28.642,22.358,22.986
BACHELOR OF EDUCATION (ARTS),LUKENYA UNIVERSITY,Unknown,1495135,,23.941,23.91,25.915,22.636,22.358,22.937
BACHELOR OF EDUCATION (ARTS),THE EAST AFRICAN UNIVERSITY,Unknown,1500494,,24.37,24.148,25.065,22.636,22.358,21.858
BACHELOR OF EDUCATION ARTS,MARIST INTERNATIONAL UNIVERSITY COLLEGE,Unknown,1530135,,24.098,24.715,24.255,22.636,22.358,21.858
BACHELOR OF EDUCATION (ARTS),KENYA METHODIST UNIVERSITY,Unknown,1077135,,24.531,27.055,28.338,23.42,22.358,23.104
BACHELOR OF EDUCATION (ARTS),AFRICA NAZARENE UNIVERSITY,Unknown,1078135,,24.323,27.172,28.006,28.619,22.358,23.442
BACHELOR OF EDUCATION (ARTS),AFRICA INTERNATIONAL UNIVERSITY,Unknown,1119135,,23.77,24.2,26.112,24.486,22.358,21.858
"BACHELOR OF EDUCATION (ARTS, WITH IT)",TOM MBOYA UNIVERSITY,Homa Bay County,1515135,,24.555,26.309,27.223,24.445,25.8,27.837
BACHELOR OF EDUCATION (ARTS),KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,Unknown,1555135,,24.533,24.514,23.232,22.636,22.358,21.858
BACHELOR OF EDUCATION (ARTS),TURKANA UNIVERSITY COLLEGE,Unknown,1570135,,24.641,24.928,23.981,22.636,22.358,22.358
BACHELOR OF EDUCATION (ARTS),ALUPE UNIVERSITY,Unknown,1600135,,23.682,23.846,27.055,24.399,26.318,27.787
BACHELOR OF EDUCATION(MAJOR ACCOUNTING AND BUSINESS ADMINISTRATION),DAYSTAR UNIVERSITY,Machakos County,1162137,25.663,28.322,30.083,29.486,25.412,22.358,22.935
