Programme Name,University Name,Location,Programme Code,Cut-off 2017,Cut-off 2018,Cut-off 2019,Cut-off 2020,Cut-off 2021,Cut-off 2022,Cut-off 2023
BACHELOR OF ECONOMICS AND STATISTICS,KCA UNIVERSITY,Nairobi County,1103199,,,,27.949,28.445,19.914,18.831
BACHELOR OF ECONOMICS & STATISTICS,CATHOLIC UNIVERSITY OF EASTERN  AFRICA,Nairobi County,1480199,,,,,,19.914,18.831
BACHELOR OF ECONOMICS & STATISTICS,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,Unknown,1580199,,,,,,19.914,18.831
BACHELOR OF ECONOMICS AND STATISTICS,OPEN UNIVERSITY OF KENYA,Unknown,5145199,,,,,,,18.831
BACHELOR OF PURCHASING AND SUPPLIES MANAGEMENT,KISII UNIVERSITY,Kisii County,1087247,,24.764,24.822,22.361,22.544,21.444,21.375
BACHELOR OF PURCHASING AND SUPPLIES MANAGEMENT,TAITA TAVETA UNIVERSITY,Unknown,1091247,,24.868,24.566,22.361,22.544,21.444,21.375
BACHELOR OF PURCHASING & SUPPLIES MANAGEMENT,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,Nyeri County,1173247,24.888,27.751,27.072,24.342,22.544,21.444,21.375
BACHELOR OF PURCHASING & SUPPLIES MANAGEMENT,EGERTON UNIVERSITY,Nakuru County,1057249,31.041,30.714,30.303,24.333,22.544,21.444,21.375
BACHELOR OF SCIENCE IN SUPPLY CHAIN MANAGEMENT,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,Kiambu County,1249247,28.394,30.074,30.953,29.485,24.893,21.444,24.391
BACHELOR OF PURCHASING AND SUPPLIES MANAGEMENT,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meru County,1240247,25.384,25.104,24.855,22.361,,,
PROGRAMME NAME,INSTITUTION NAME,Unknown,PROG CODE,,,,,,,
BACHELOR OF PURCHASING & SUPPLIES MANAGEMENT,THARAKA UNIVERSITY,Tharaka-Nithi County,1685247,,24.733,23.966,,,,
BACHELOR OF PURCHASING AND SUPPLIES MANAGEMENT,CO-OPERATIVE UNIVERSITY OF KENYA,Nairobi County,1080247,,,24.985,22.361,22.544,21.444,21.375
BACHELOR OF SCIENCE IN SUPPLY CHAIN MANAGEMENT,TECHNICAL UNIVERSITY OF MOMBASA,Unknown,1063247,,,,,22.544,21.444,21.375
BACHELOR OF SCIENCE IN SUPPLY CHAIN MANAGEMENT,RONGO UNIVERSITY,Unknown,1073247,,,,,,21.444,21.375
BACHELOR OF SCIENCE (MATHEMATICS WITH COMPUTING),KISII UNIVERSITY,Kisii County,1087308,26.387,25.893,25.11,24.418,19.223,18.638,18.814
BACHELOR OF SCIENCE (MATHEMATICS WITH COMPUTING),UNIVERSITY OF EMBU,Unknown,1093308,,,23.812,20.048,19.223,18.638,18.814
BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY,KISII UNIVERSITY,Kisii County,1087337,,24.546,24.242,24.354,22.926,22.916,22.449
BACHELOR OF SCIENCE (COUNSELLING PSYCHOLOGY),TECHNICAL UNIVERSITY OF KENYA,Unknown,1112337,25.361,28.141,30.107,31.788,32.47,33.977,31.022
BACHELOR OF SCIENCE (COUNSELLING PSYCHOLOGY),MOI UNIVERSITY,Uasin Gishu County,1253337,24.309,24.291,26.089,28.249,25.052,28.369,24.041
BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY,PAN AFRICA CHRISTIAN UNIVERSITY,Unknown,1068343,,25.182,25.661,24.959,25.087,,
BACHELOR OF ARTS (COUNSELLING PSYCHOLOGY),AFRICA NAZARENE UNIVERSITY,Unknown,1078337,,23.836,24.109,28.574,28.826,22.916,22.449
BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY,SCOTT CHRISTIAN UNIVERSITY,Unknown,1090337,,24.645,24.561,25.768,22.926,22.916,22.449
BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY,ST PAULS UNIVERSITY,Unknown,1107337,,,,26.28,22.926,22.916,22.449
BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY,AFRICA INTERNATIONAL UNIVERSITY,Unknown,1119337,,26.078,24.468,25.013,22.926,22.916,22.449
BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,Unknown,1169337,,24.083,,26.156,22.926,22.916,
BACHELOR OF ARTS IN COUNSELLING PSYCHOLOGY,INTERNATIONAL LEADERSHIP UNIVERSITY,Unknown,1225337,,,,24.807,22.926,22.916,22.449
BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY,TANGAZA UNIVERSITY COLLEGE,Unknown,1475337,,25.285,25.237,24.749,22.926,22.916,22.449
BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY,CATHOLIC UNIVERSITY OF EASTERN  AFRICA,Nairobi County,1480337,,24.732,24.053,24.591,22.926,22.916,22.449
BACHELOR OF ARTS IN  PSYCHOLOGY,DAYSTAR UNIVERSITY,Machakos County,1162337,26.594,29.367,32.232,29.14,26.462,22.916,22.449
BACHELOR OF ARTS (COUNSELLING PSYCHOLOGY),ALUPE UNIVERSITY,Unknown,1600337,,,,25.047,22.926,25.135,22.449
BACHELOR OF ARTS IN COUNSELING,KENYA METHODIST UNIVERSITY,Unknown,1077337,,26.731,24.617,25.403,22.926,22.916,22.449
BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY,KCA UNIVERSITY,Nairobi County,1103337,,25.656,24.887,26.049,23.863,22.916,22.449
BACHELOR OF ARTS (COUNSELLING PSYCHOLOGY),MACHAKOS UNIVERSITY,Machakos County,1170337,,25.54,24.362,25.433,,27.279,24.615
BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY,KARATINA UNIVERSITY,Nyeri County,1244337,,25.388,,,,,
BACHELOR OF SCIENCE (COUNSELLING PSYCHOLOGY),BOMET UNIVERSITY COLLEGE,Unknown,1700337,,,,25.969,22.926,22.916,22.449
BACHELOR OF ARTS IN COUNSELLING PSYCHOLOGY,TECHNICAL UNIVERSITY OF MOMBASA,Unknown,1063337,,,,,22.926,26.516,22.449
BACHELOR OF ARTS (COUNSELLING),KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,Unknown,1580337,,,,,,24.659,24.094
BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY,PAN AFRICA CHRISTIAN UNIVERSITY,Unknown,1068337,,,,,,,22.449
BACHELOR OF ARTS IN COUNSELLING PSYCHOLOGY,GREAT LAKES UNIVERSITY OF KISUMU,Unknown,1192337,,,,,,,22.449
BACHELOR OF ARTS (COMMUNICATION AND MEDIA),KISII UNIVERSITY,Kisii County,1087385,,24.65,28.033,29.407,28.122,30.229,24.677
BACHELOR OF ARTS (COMMUNICATION AND MEDIA),LAIKIPIA UNIVERSITY,Unknown,1176385,,24.584,27.539,28.836,25.99,27.845,23.924
"BACHELOR OF ARTS (COMMUNICATION & MEDIA TECHNOLOGY, WITH IT)",MASENO UNIVERSITY,Kisumu County,1229385,24.582,27.423,29.21,30.026,29.35,31.315,26.826
BACHELOR OF ARTS (COMMUNICATION AND MEDIA),EGERTON UNIVERSITY,Nakuru County,1057385,29.277,31.415,32.789,32.798,30.641,32.431,28.757
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,KISII UNIVERSITY,Kisii County,1087387,,27.186,23.976,22.361,22.544,24.435,21.375
PROGRAMME NAME,INSTITUTION NAME,Unknown,PROG CODE,,,,,,,
BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT,UNIVERSITY OF ELDORET,Uasin Gishu County,1114222,,24.653,25.348,22.361,26.952,27.599,24.844
BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT,UNIVERSITY OF KABIANGA,Kericho County,1118222,,24.66,24.731,22.361,23.984,25.908,23.329
BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT,MAASAI MARA UNIVERSITY,Unknown,1165222,24.602,24.58,25.271,22.361,26.827,27.916,26.074
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,KARATINA UNIVERSITY,Nyeri County,1244222,,24.604,24.146,22.361,25.004,25.393,23.369
BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT,MOI UNIVERSITY,Uasin Gishu County,1253222,28.09,25.997,29.147,22.361,27.586,27.875,26.119
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,RONGO UNIVERSITY,Unknown,1073222,,24.614,24.828,22.361,22.544,24.915,23.57
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,ALUPE UNIVERSITY,Unknown,1600222,,29.959,25.964,22.361,22.544,24.604,23.319
BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT,KISII UNIVERSITY,Kisii County,1087222,,,,,22.544,,
BACHELOR OF SCIENCE IN APPLIED COMPUTER SCIENCE,KISII UNIVERSITY,Kisii County,1087388,,24.99,24.164,25.756,19.223,28.435,27.312
BACHELOR OF SCIENCE (APPLIED COMPUTER SCIENCE),CHUKA UNIVERSITY,Tharaka-Nithi County,1105388,25.962,24.34,25.775,25.655,25.35,26.345,25.991
BACHELOR OF SCIENCE IN APPLIED COMPUTER SCIENCE,DAYSTAR UNIVERSITY,Machakos County,1162388,,34.408,37.372,36.514,26.253,18.638,18.814
BACHELOR OF SCIENCE IN APPLIED COMPUTING,KCA UNIVERSITY,Nairobi County,1103388,,23.939,24.059,19.481,19.223,18.638,18.814
BACHELOR OF SCIENCE (APPLIED COMPUTER SCIENCE),THARAKA UNIVERSITY,Tharaka-Nithi County,1685388,,26.289,26.404,19.481,19.223,,
BACHELOR OF SCIENCE IN APPLIED COMPUTER SCIENCE,EGERTON UNIVERSITY,Nakuru County,1057388,,,,,19.223,24.203,24.666
BACHELOR OF SCIENCE (BIOMETRY AND INFORMATICS),KISII UNIVERSITY,Kisii County,1087429,,22.608,24.19,19.481,,,18.814
BACHELOR OF SCIENCE (CELLULAR AND MOLECULAR BIOLOGY),KISII UNIVERSITY,Kisii County,1087438,,,26.214,16.791,17.459,16.974,15.683
BACHELOR OF SCIENCE (MOLECULAR & CELLULAR BIOLOGY),KENYATTA UNIVERSITY,Nairobi County,1111438,,24.31,28.664,16.791,17.459,16.974,15.683
BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE,KISII UNIVERSITY,Kisii County,1087518,,,26.094,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE TECHNOLOGY,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,Unknown,1082519,,,,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,Kiambu County,1249519,,27.717,29.571,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE,TECHNICAL UNIVERSITY OF MOMBASA,Unknown,1063519,,,,,,,
BACHELOR OF ARTS (APPLIED LINGUISTICS),KISII UNIVERSITY,Kisii County,1087521,,,24.816,,,,
BACHELOR OF ARTS (LITERATURE),KISII UNIVERSITY,Kisii County,1087524,,24.307,25.172,26.967,22.926,22.916,22.449
"BACHELOR OF ARTS (LITERATURE, WITH IT)",MASENO UNIVERSITY,Kisumu County,1229524,26.464,24.207,26.406,27.685,22.926,28.202,23.844
BACHELOR OF ARTS (LITERATURE),PWANI UNIVERSITY,Unknown,1117524,,24.536,25.352,26.966,22.926,22.916,22.449
BACHELOR OF ARTS (LINGUISTICS AND LITERATURE),CHUKA UNIVERSITY,Tharaka-Nithi County,1105524,,26.242,27.455,28.695,24.545,28.826,24.181
BACHELOR OF SCIENCE (RENEWABLE ENERGY),KISII UNIVERSITY,Kisii County,1087525,,26.473,26.55,16.9,16.787,15.982,15.683
BACHELOR OF SCIENCE (RENEWABLE ENERGY),TURKANA UNIVERSITY COLLEGE,Unknown,1570525,,23.611,,,,,
BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING,KISII UNIVERSITY,Kisii County,1087542,36.888,34.451,35.656,35.694,28.289,35.029,36.957
BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING,MULTIMEDIA UNIVERSITY OF KENYA,Nairobi County,1164542,40.374,40.256,41.593,40.91,40.797,41.42,41.368
PROGRAMME NAME,INSTITUTION NAME,Unknown,PROG CODE,,,,,,,
BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING,MURANG'A UNIVERSITY OF TECHNOLOGY,Murang’a County,1246542,33.504,34.057,35.531,36.195,34.966,37.792,38.437
BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING,"UNIVERSITY OF EASTERN AFRICA, BARATON",Unknown,1181542,31.77,33.051,34.341,33.306,33.595,18.638,25.573
BACHELOR OF SCIENCE IN SOFTWARE DEVELOPMENT,KCA UNIVERSITY,Nairobi County,1103542,24.801,30.988,33.704,34.259,34.436,18.638,24.055
BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING,KIRINYAGA UNIVERSITY,Kirinyaga County,1079542,,24.79,30.803,31.69,29.978,32.249,33.884
BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING,CO-OPERATIVE UNIVERSITY OF KENYA,Nairobi County,1080542,,,,34.078,36.951,39.959,40.162
BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING,ZETECH UNIVERSITY,Kiambu County,1425542,,,,,19.223,18.638,18.814
BACHELOR OF SCIENCE ( ENVIRONMENTAL CHEMISTRY),KISII UNIVERSITY,Kisii County,1087574,,23.402,24.174,16.791,17.459,16.974,15.683
BACHELOR OF SCIENCE (NATURAL PRODUCTS),KISII UNIVERSITY,Kisii County,1087575,,,24.735,,,,
BACHELOR OF SCIENCE (PETROLEUM CHEMISTRY),KISII UNIVERSITY,Kisii County,1087576,25.684,26.769,27.467,16.9,16.787,15.982,15.683
BACHELOR OF ARTS (TRANSLATION AND INTERPRETATION),KISII UNIVERSITY,Kisii County,1087577,,,,,,,
BACHELOR OF ARTS IN TRANSLATION STUDIES,ST PAULS UNIVERSITY,Unknown,1107577,,,23.955,24.981,22.926,22.916,22.449
BACHELOR OF SCIENCE (GEOPHYSICS AND MINERALOGY),KISII UNIVERSITY,Kisii County,1087579,,25.133,24.607,17.674,17.802,17.363,15.683
BACHELOR OF SCIENCE (CONSERVATION BIOLOGY),KISII UNIVERSITY,Kisii County,1087611,,,27.285,,,16.974,
BACHELOR OF SCIENCE (CONSERVATION BIOLOGY),KENYATTA UNIVERSITY,Nairobi County,1111611,37.282,28.913,25.962,16.791,17.459,16.974,15.683
BACHELOR OF SCIENCE (CONSERVATION BIOLOGY),PWANI UNIVERSITY,Unknown,1117611,,,25.035,,,,
BACHELOR OF BUSINESS INFORMATION AND MANAGEMENT,KISII UNIVERSITY,Kisii County,1087651,,24.07,25.194,22.361,22.544,21.444,21.375
BACHELOR OF SCIENCE IN AGRIBUSINESS MANAGEMENT,KISII UNIVERSITY,Kisii County,1087256,,27.445,24.216,16.791,17.459,16.974,15.864
BACHELOR OF SCIENCE IN AGRIBUSINESS MANAGEMENT AND MARKETING,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,Unknown,1082256,,26.366,26.726,16.791,17.459,16.974,15.864
BACHELOR OF SCIENCE IN AGRIBUSINESS MANAGEMENT,TAITA TAVETA UNIVERSITY,Unknown,1091256,,25.289,23.576,16.791,17.459,16.974,15.864
BACHELOR OF SCIENCE (LABORATORY SCIENCE AND TECHNOLOGY),KISII UNIVERSITY,Kisii County,1087694,,25.744,23.937,28.334,29.132,28.499,24.939
BACHELOR OF SCIENCE IN LABORATORY SCIENCES,KENYA METHODIST UNIVERSITY,Unknown,1077194,,24.521,31.871,33.26,34.621,23.953,27.126
"BACHELOR OF SCIENCE IN MATHEMATICS ( PURE MATHEMATICS, APPLIED MATHEMATICS AND
STATISTICS)",KISII UNIVERSITY,Kisii County,1087709,24.932,26.358,26.513,23.227,20.1,19.914,18.831
BACHELOR OF SCIENCE IN MATHEMATICS AND MODELLING PROCESSES,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,Nyeri County,1173709,,,23.277,23.576,20.1,19.914,18.831
BACHELOR OF SCIENCE IN MATHEMATICS & PHYSICS,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meru County,1240709,,,24.819,20.048,20.1,19.914,18.831
BACHELOR OF SCIENCE (FORENSIC BIOLOGY),KISII UNIVERSITY,Kisii County,1087811,,25.897,26.639,16.791,17.459,16.974,15.683
PROGRAMME NAME,INSTITUTION NAME,Unknown,PROG CODE,,,,,,,
BACHELOR OF INFORMATION SCIENCE,KISII UNIVERSITY,Kisii County,1087B69,,24.659,24.647,24.676,22.544,21.444,21.375
BACHELOR OF INFORMATION SCIENCE,UNIVERSITY OF NAIROBI,Nairobi County,1263B69,,,33.704,34.364,22.544,21.444,21.375
BACHELOR OF SCIENCE IN CHEMISTRY,KISII UNIVERSITY,Kisii County,1087B79,,23.564,23.826,16.791,16.787,15.982,15.683
"BACHELOR OF SCIENCE CHEMISTRY ( INORGANIC, PHYSICAL AND ORGANIC OPTIONS)",MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meru County,1240B79,,,24.357,16.791,16.787,,15.683
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,TAITA TAVETA UNIVERSITY,Unknown,1091244,,24.352,24.414,22.361,22.544,21.444,21.375
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,MULTIMEDIA UNIVERSITY OF KENYA,Nairobi County,1164244,31.551,31.813,33.044,33.447,28.828,29.991,31.205
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meru County,1240244,25.729,25.006,25.01,24.722,22.544,21.444,26.523
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,MURANG'A UNIVERSITY OF TECHNOLOGY,Murang’a County,1246244,25.151,24.915,24.41,24.573,22.544,21.444,27.359
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,Kiambu County,1249244,33.516,32.879,34.232,34.831,33.351,33.016,34.173
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,TECHNICAL UNIVERSITY OF MOMBASA,Unknown,1063244,28.985,29.186,26.348,27.235,22.544,21.444,21.375
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,RIARA UNIVERSITY,Unknown,1060244,28.285,31.264,32.95,28.507,27.628,31.615,32.503
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,KENYA METHODIST UNIVERSITY,Unknown,1077244,,24.144,24.231,22.361,22.544,21.444,21.375
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,AFRICA NAZARENE UNIVERSITY,Unknown,1078244,26.141,27.78,29.785,28.333,29.114,21.444,25.254
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,SCOTT CHRISTIAN UNIVERSITY,Unknown,1090244,,24.627,24.232,22.361,22.544,21.444,21.375
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ST PAULS UNIVERSITY,Unknown,1107244,,25.091,24.95,22.361,,,
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,SOUTH EASTERN KENYA UNIVERSITY,Kitui County,1166244,,24.757,25.053,22.361,22.544,21.444,21.375
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,Nyeri County,1173244,30.61,29.084,30.73,30.851,29.512,27.902,31.074
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,"UNIVERSITY OF EASTERN AFRICA, BARATON",Unknown,1181244,,26.264,24.208,22.361,22.544,21.444,21.375
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,MOUNT KENYA UNIVERSITY,Kiambu County,1279244,25.782,26.635,28.925,29.698,29.834,21.444,27.32
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ZETECH UNIVERSITY,Kiambu County,1425244,,25.131,24.424,22.361,22.544,21.444,21.375
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,THE EAST AFRICAN UNIVERSITY,Unknown,1500244,,24.318,23.905,22.361,22.544,21.444,21.375
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,PAN AFRICA CHRISTIAN UNIVERSITY,Unknown,1068244,,25.559,25.16,22.361,22.544,21.444,21.375
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,KIRINYAGA UNIVERSITY,Kirinyaga County,1079206,,24.454,24.702,22.361,22.544,21.444,21.375
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,Unknown,1169244,,24.344,,22.361,22.544,21.444,
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,UNIVERSITY OF EMBU,Unknown,1093244,,,24.93,22.361,22.544,21.444,25.384
BACHELOR OF SCIENCE (MINING AND MINERAL PROCESSING ENGINEERING),TAITA TAVETA UNIVERSITY,Unknown,1091349,27.979,29.294,28.165,16.9,16.787,15.982,15.683
BACHELOR OF SCIENCE (MINING AND MINERAL PROCESSING ENGINEERING),JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,Kiambu County,1249349,38.334,33.39,34.205,28.822,16.787,15.982,15.683
BACHELOR OF SCIENCE (RANGE MANAGEMENT),UNIVERSITY OF EMBU,Unknown,1093125,,,31.28,16.791,17.459,17.043,
BACHELOR OF SCIENCE (RANGE MANAGEMENT),SOUTH EASTERN KENYA UNIVERSITY,Kitui County,1166125,,,,16.791,,,
BACHELOR OF SCIENCE (RANGE MANAGEMENT),UNIVERSITY OF NAIROBI,Nairobi County,1263125,,28.83,35.942,16.791,,,16.274
BACHELOR OF SCIENCE (MANAGEMENT OF AGRO-ECOSYSTEM AND ENVIRONMENT),UNIVERSITY OF EMBU,Unknown,1093184,,,,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (MANAGEMENT OF AGRO-ECOSYSTEM AND ENVIRONMENT),UNIVERSITY OF NAIROBI,Nairobi County,1263184,33.416,27.211,29.109,16.791,,,
BACHELOR OF SCIENCE IN MANAGEMENT OF AGRI. ECOSYSTEMS,SOUTH EASTERN KENYA UNIVERSITY,Kitui County,1166184,,,,16.791,,,
PROGRAMME NAME,INSTITUTION NAME,Unknown,PROG CODE,,,,,,,
BACHELOR OF SCIENCE (ENVIRONMENTAL CONSERVATION AND NATURAL RESOURCES MANAGEMENT),UNIVERSITY OF EMBU,Unknown,1093186,,27.456,29.152,16.791,17.459,17.043,15.864
"BACHELOR OF SCIENCE (ENVIRONMENTAL CONSERVATION AND NATURAL RESOURCES
MANAGEMENT)",SOUTH EASTERN KENYA UNIVERSITY,Kitui County,1166186,,29.837,,16.791,17.459,17.043,15.864
"BACHELOR OF SCIENCE (ENVIRONMENTAL CONSERVATION AND NATURAL RESOURCES
MANAGEMENT)",UNIVERSITY OF NAIROBI,Nairobi County,1263186,28.525,26.096,28.647,16.791,17.459,24.003,15.864
BACHELOR OF SCIENCE (MICROBIOLOGY AND BIOTECHNOLOGY),UNIVERSITY OF EMBU,Unknown,1093278,,27.678,26.304,16.791,17.459,16.974,15.683
BACHELOR OF SCIENCE (MICROBIOLOGY AND BIOTECHNOLOGY),UNIVERSITY OF NAIROBI,Nairobi County,1263278,29.047,25.175,28.438,30.978,25.558,25.71,25.645
BACHELOR OF SCIENCE IN MICROBIOLOGY AND BIOTECHNOLOGY,CHUKA UNIVERSITY,Tharaka-Nithi County,1105278,,27.721,24.529,16.791,17.459,16.974,15.683
BACHELOR OF SCIENCE (WATER RESOURCE MANAGEMENT),UNIVERSITY OF EMBU,Unknown,1093488,,,,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (WATER RESOURCE MANAGEMENT),UNIVERSITY OF ELDORET,Uasin Gishu County,1114488,,,,,17.459,17.043,15.864
BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING),GARISSA UNIVERSITY,Garissa County,1096164,,24.088,24.654,20.048,19.223,18.638,18.814
BACHELOR OF SCIENCE (STATISTICS & PROGRAMMING),KENYATTA UNIVERSITY,Nairobi County,1111164,35.523,37.262,38.475,36.119,29.9,30.004,23.869
BACHELOR OF SCIENCE IN APPLIED STATISTICS WITH COMPUTING,UNIVERSITY OF ELDORET,Uasin Gishu County,1114164,30.71,31.924,31.945,23.001,19.223,18.638,18.814
BACHELOR OF SCIENCE (APPLIED STATISTICS WITH COMPUTING),UNIVERSITY OF KABIANGA,Kericho County,1118164,25.578,26.898,25.979,20.048,19.223,18.638,18.814
BACHELOR OF SCIENCE (APPLIED STATISTICS WITH COMPUTING),MAASAI MARA UNIVERSITY,Unknown,1165164,25.53,27.25,26.593,20.048,19.223,18.638,18.814
BACHELOR OF SCIENCE IN APPLIED STATISTICS WITH COMPUTING,KARATINA UNIVERSITY,Nyeri County,1244164,24.219,27.538,27.317,20.048,19.223,18.638,18.814
BACHELOR OF SCIENCE (APPLIED STATISTICS WITH COMPUTING),MOI UNIVERSITY,Uasin Gishu County,1253164,34.159,34.054,34.498,28.472,19.223,18.638,18.814
BACHELOR OF SCIENCE (APPLIED STATISTICS WITH PROGRAMMING),MURANG'A UNIVERSITY OF TECHNOLOGY,Murang’a County,1246164,25.389,26.432,26.571,22.982,19.223,18.638,18.814
BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING),ALUPE UNIVERSITY,Unknown,1600164,,25.163,24.033,20.048,19.223,18.638,18.814
BACHELOR OF SCIENCE (APPLIED STATISTICS WITH COMPUTING),BOMET UNIVERSITY COLLEGE,Unknown,1700164,,,,,19.223,18.638,18.814
BACHELOR OF SCIENCE (STATISTICS & PROGRAMMING),KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,Unknown,1580164,,,,,,18.638,18.814
BACHELOR OF PROCUREMENT AND LOGISTICS MANAGEMENT,CHUKA UNIVERSITY,Tharaka-Nithi County,1105247,25.629,28.779,29.184,25.181,22.544,21.444,21.375
BACHELOR OF PROCUREMENT AND LOGISTICS MANAGEMENT,MULTIMEDIA UNIVERSITY OF KENYA,Nairobi County,1164250,31.187,29.231,30.365,30.466,22.544,21.444,21.375
BACHELOR OF PROCUREMENT AND LOGISTICS MANAGEMENT,KABARAK UNIVERSITY,Nakuru County,1061250,25.146,26.909,26.785,25.163,22.544,21.444,21.375
BACHELOR OF PROCUREMENT AND LOGISTICS MANAGEMENT,KCA UNIVERSITY,Nairobi County,1103250,,23.939,27.605,27.711,22.544,21.444,21.375
BACHELOR OF PROCUREMENT,MOUNT KENYA UNIVERSITY,Kiambu County,1279250,,30.559,29.369,24.732,24.48,21.444,21.375
BACHELOR OF PROCUREMENT AND LOGISTICS MANAGEMENT,THARAKA UNIVERSITY,Tharaka-Nithi County,1685250,,24.329,24.83,22.361,22.544,21.444,21.375
BACHELOR OF PROCUREMENT AND LOGISTICS MANAGEMENT,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meru County,1240250,,,,,22.544,21.444,21.375
BACHELOR OF AGRIBUSINESS MANAGEMENT,CHUKA UNIVERSITY,Tharaka-Nithi County,1105257,28.148,26.028,24.582,16.791,17.459,16.974,15.864
BACHELOR OF AGRIBUSINESS MANAGEMENT,MAASAI MARA UNIVERSITY,Unknown,1165257,,,,16.791,17.459,16.974,15.864
BACHELOR OF AGRIBUSINESS MANAGEMENT,EGERTON UNIVERSITY,Nakuru County,1057257,26.328,24.998,23.626,16.791,17.459,16.974,15.864
PROGRAMME NAME,INSTITUTION NAME,Unknown,PROG CODE,,,,,,,
BACHELOR OF AGRIBUSINESS MANAGEMENT,LAIKIPIA UNIVERSITY,Unknown,1176257,,,24.183,16.791,17.459,16.974,15.864
